# ----------------------------------------
# windroc_blog_sinaapp
# 地理位置
# 20130101-20131231
# ----------------------------------------

区域,访问次数,新访问次数百分比,新访问次数,跳出率,每次访问的浏览页数,平均访问持续时间,交易次数,收入,电子商务转化率
Beijing,"1,614",57.43%,927,78.56%,1.59,00:02:30,0,US$ 0.00,0.00%
Guangdong,885,81.47%,721,86.67%,1.19,00:00:50,0,US$ 0.00,0.00%
Shanghai,543,80.48%,437,86.74%,1.24,00:00:39,0,US$ 0.00,0.00%
Jiangsu,383,82.25%,315,89.56%,1.22,00:00:26,0,US$ 0.00,0.00%
Zhejiang,365,83.29%,304,85.48%,1.24,00:00:39,0,US$ 0.00,0.00%
Hubei,298,76.51%,228,88.26%,1.26,00:01:39,0,US$ 0.00,0.00%
Shaanxi,278,62.59%,174,85.25%,1.48,00:00:38,0,US$ 0.00,0.00%
Sichuan,244,77.87%,190,83.20%,1.32,00:02:02,0,US$ 0.00,0.00%
Liaoning,206,47.09%,97,87.86%,1.16,00:01:34,0,US$ 0.00,0.00%
Shandong,162,69.75%,113,85.80%,1.27,00:00:53,0,US$ 0.00,0.00%
Anhui,140,78.57%,110,88.57%,1.21,00:00:43,0,US$ 0.00,0.00%
Fujian,137,83.21%,114,84.67%,1.20,00:01:42,0,US$ 0.00,0.00%
Hunan,114,79.82%,91,83.33%,1.44,00:02:09,0,US$ 0.00,0.00%
Tianjin,93,76.34%,71,88.17%,1.39,00:00:29,0,US$ 0.00,0.00%
(not set),70,80.00%,56,84.29%,1.24,00:01:30,0,US$ 0.00,0.00%
Henan,58,79.31%,46,77.59%,1.33,00:01:02,0,US$ 0.00,0.00%
Chongqing,54,87.04%,47,87.04%,1.17,00:00:44,0,US$ 0.00,0.00%
Guangxi,43,81.40%,35,74.42%,1.40,00:01:04,0,US$ 0.00,0.00%
Heilongjiang,38,92.11%,35,84.21%,1.21,00:00:35,0,US$ 0.00,0.00%
Hebei,34,91.18%,31,82.35%,1.12,00:00:23,0,US$ 0.00,0.00%
Jilin,31,70.97%,22,74.19%,1.42,00:00:50,0,US$ 0.00,0.00%
Jiangxi,21,85.71%,18,95.24%,1.05,00:00:14,0,US$ 0.00,0.00%
Shanxi,20,75.00%,15,90.00%,1.25,00:00:34,0,US$ 0.00,0.00%
Yunnan,17,82.35%,14,88.24%,1.12,00:01:24,0,US$ 0.00,0.00%
Guizhou,11,72.73%,8,45.45%,1.55,00:01:04,0,US$ 0.00,0.00%
Gansu,8,62.50%,5,75.00%,1.25,00:01:01,0,US$ 0.00,0.00%
Inner Mongolia,7,85.71%,6,85.71%,1.00,00:31:55,0,US$ 0.00,0.00%
Hainan,5,80.00%,4,80.00%,2.20,00:02:49,0,US$ 0.00,0.00%
Xinjiang,5,100.00%,5,80.00%,1.00,00:00:54,0,US$ 0.00,0.00%
Qinghai,1,100.00%,1,100.00%,1.00,00:00:00,0,US$ 0.00,0.00%
Ningxia,1,100.00%,1,100.00%,1.00,00:00:00,0,US$ 0.00,0.00%
,"5,886",72.05%,"4,241",84.05%,1.35,00:01:26,0,US$ 0.00,0.00%

天索引,访问次数
13/1/1,16
13/1/2,18
13/1/3,33
13/1/4,51
13/1/5,54
13/1/6,47
13/1/7,49
13/1/8,54
13/1/9,47
13/1/10,68
13/1/11,45
13/1/12,28
13/1/13,18
13/1/14,49
13/1/15,53
13/1/16,42
13/1/17,29
13/1/18,26
13/1/19,20
13/1/20,12
13/1/21,19
13/1/22,28
13/1/23,30
13/1/24,21
13/1/25,20
13/1/26,10
13/1/27,3
13/1/28,20
13/1/29,11
13/1/30,4
13/1/31,8
13/2/1,6
13/2/2,8
13/2/3,3
13/2/4,5
13/2/5,1
13/2/6,4
13/2/7,5
13/2/8,3
13/2/9,2
13/2/10,1
13/2/11,0
13/2/12,3
13/2/13,0
13/2/14,0
13/2/15,0
13/2/16,0
13/2/17,9
13/2/18,2
13/2/19,7
13/2/20,10
13/2/21,11
13/2/22,6
13/2/23,1
13/2/24,6
13/2/25,4
13/2/26,10
13/2/27,8
13/2/28,6
13/3/1,13
13/3/2,16
13/3/3,4
13/3/4,14
13/3/5,9
13/3/6,10
13/3/7,9
13/3/8,7
13/3/9,9
13/3/10,4
13/3/11,17
13/3/12,13
13/3/13,9
13/3/14,20
13/3/15,16
13/3/16,4
13/3/17,8
13/3/18,24
13/3/19,14
13/3/20,10
13/3/21,14
13/3/22,12
13/3/23,7
13/3/24,8
13/3/25,12
13/3/26,12
13/3/27,11
13/3/28,20
13/3/29,11
13/3/30,6
13/3/31,10
13/4/1,16
13/4/2,12
13/4/3,9
13/4/4,6
13/4/5,6
13/4/6,4
13/4/7,19
13/4/8,14
13/4/9,20
13/4/10,12
13/4/11,16
13/4/12,17
13/4/13,9
13/4/14,11
13/4/15,11
13/4/16,12
13/4/17,16
13/4/18,11
13/4/19,10
13/4/20,8
13/4/21,5
13/4/22,12
13/4/23,21
13/4/24,19
13/4/25,16
13/4/26,10
13/4/27,18
13/4/28,5
13/4/29,6
13/4/30,1
13/5/1,6
13/5/2,12
13/5/3,8
13/5/4,3
13/5/5,8
13/5/6,10
13/5/7,21
13/5/8,16
13/5/9,12
13/5/10,16
13/5/11,9
13/5/12,10
13/5/13,21
13/5/14,10
13/5/15,17
13/5/16,19
13/5/17,24
13/5/18,7
13/5/19,11
13/5/20,18
13/5/21,15
13/5/22,14
13/5/23,12
13/5/24,17
13/5/25,9
13/5/26,4
13/5/27,18
13/5/28,28
13/5/29,15
13/5/30,18
13/5/31,14
13/6/1,8
13/6/2,13
13/6/3,14
13/6/4,23
13/6/5,18
13/6/6,15
13/6/7,13
13/6/8,13
13/6/9,12
13/6/10,10
13/6/11,7
13/6/12,5
13/6/13,14
13/6/14,11
13/6/15,4
13/6/16,13
13/6/17,10
13/6/18,21
13/6/19,24
13/6/20,19
13/6/21,10
13/6/22,14
13/6/23,8
13/6/24,13
13/6/25,10
13/6/26,14
13/6/27,21
13/6/28,22
13/6/29,13
13/6/30,7
13/7/1,17
13/7/2,19
13/7/3,30
13/7/4,22
13/7/5,20
13/7/6,7
13/7/7,5
13/7/8,20
13/7/9,16
13/7/10,25
13/7/11,18
13/7/12,14
13/7/13,6
13/7/14,9
