date,visits
2013/1/1,19
2013/1/2,24
2013/1/3,36
2013/1/4,57
2013/1/5,60
2013/1/6,49
2013/1/7,53
2013/1/8,62
2013/1/9,51
2013/1/10,74
2013/1/11,51
2013/1/12,33
2013/1/13,23
2013/1/14,57
2013/1/15,65
2013/1/16,47
2013/1/17,38
2013/1/18,31
2013/1/19,22
2013/1/20,12
2013/1/21,28
2013/1/22,33
2013/1/23,36
2013/1/24,25
2013/1/25,20
2013/1/26,13
2013/1/27,4
2013/1/28,24
2013/1/29,15
2013/1/30,7
2013/1/31,12
2013/2/1,8
2013/2/2,8
2013/2/3,8
2013/2/4,7
2013/2/5,5
2013/2/6,9
2013/2/7,6
2013/2/8,5
2013/2/9,2
2013/2/10,1
2013/2/11,0
2013/2/12,5
2013/2/13,0
2013/2/14,1
2013/2/15,5
2013/2/16,3
2013/2/17,10
2013/2/18,6
2013/2/19,12
2013/2/20,12
2013/2/21,13
2013/2/22,11
2013/2/23,5
2013/2/24,10
2013/2/25,6
2013/2/26,13
2013/2/27,13
2013/2/28,11
2013/3/1,18
2013/3/2,19
2013/3/3,5
2013/3/4,19
2013/3/5,14
2013/3/6,15
2013/3/7,12
2013/3/8,10
2013/3/9,9
2013/3/10,4
2013/3/11,20
2013/3/12,17
2013/3/13,16
2013/3/14,27
2013/3/15,24
2013/3/16,7
2013/3/17,10
2013/3/18,27
2013/3/19,19
2013/3/20,17
2013/3/21,15
2013/3/22,16
2013/3/23,8
2013/3/24,9
2013/3/25,14
2013/3/26,14
2013/3/27,20
2013/3/28,21
2013/3/29,15
2013/3/30,7
2013/3/31,13
2013/4/1,17
2013/4/2,14
2013/4/3,11
2013/4/4,14
2013/4/5,11
2013/4/6,5
2013/4/7,20
2013/4/8,25
2013/4/9,21
2013/4/10,21
2013/4/11,22
2013/4/12,21
2013/4/13,10
2013/4/14,12
2013/4/15,20
2013/4/16,17
2013/4/17,20
2013/4/18,12
2013/4/19,11
2013/4/20,9
2013/4/21,7
2013/4/22,14
2013/4/23,28
2013/4/24,25
2013/4/25,18
2013/4/26,13
2013/4/27,19
2013/4/28,8
2013/4/29,11
2013/4/30,5
2013/5/1,8
2013/5/2,20
2013/5/3,13
2013/5/4,7
2013/5/5,8
2013/5/6,15
2013/5/7,27
2013/5/8,17
2013/5/9,19
2013/5/10,25
2013/5/11,10
2013/5/12,14
2013/5/13,22
2013/5/14,14
2013/5/15,19
2013/5/16,21
2013/5/17,28
2013/5/18,10
2013/5/19,13
2013/5/20,21
2013/5/21,22
2013/5/22,23
2013/5/23,17
2013/5/24,24
2013/5/25,11
2013/5/26,8
2013/5/27,22
2013/5/28,36
2013/5/29,20
2013/5/30,22
2013/5/31,20
